Process 0
Loaded and sorted 1000000 points
Received total number of points (1000000)
Local number of points: 125000
(-2000000, -1691542)
(-1999998, 1818447)
(-1999997, 306767)
(-1999993, -855659)
(-1999992, 274721)
(-1999990, -1999826)
(-1999989, -1695284)
(-1999987, 848362)
(-1999984, 810808)
(-1999979, 719911)
(-1999979, 971454)
(-1999977, -517667)
(-1999969, 149457)
(-1999953, 1968853)
(-1999949, -1204648)
(-1999949, 993032)
(-1999948, 477563)
(-1999944, 682293)
(-1999929, 1224818)
(-1999928, -556290)
(-1999927, 1801745)
(-1999922, -1744179)
(-1999922, 579404)
(-1999921, -1756720)
(-1999914, 687290)
(-1999913, -651994)
(-1999908, 767096)
(-1999905, -1168056)
(-1999905, -11686)
(-1999904, 1095636)
(-1999899, 139431)
(-1999885, -1396571)
(-1999878, 770808)
(-1999875, -1368344)
(-1999869, 615571)
(-1999868, 1930707)
(-1999866, -1206953)
(-1999865, -833953)
(-1999865, -1917275)
(-1999862, 1849142)
(-1999859, -820144)
(-1999859, 378917)
(-1999856, -689521)
(-1999854, -246557)
(-1999848, 1023111)
(-1999848, -1047107)
(-1999837, -1228305)
(-1999835, 127669)
(-1999833, -208955)
(-1999829, 917609)
(-1999828, 219206)
(-1999822, -286795)
(-1999816, -1614432)
(-1999807, -1329699)
(-1999807, 1871605)
(-1999802, -1577564)
(-1999796, 488604)
(-1999792, 1792546)
(-1999792, 330196)
(-1999787, 1741728)
(-1999780, 154222)
(-1999773, -161201)
(-1999766, -904341)
(-1999764, 229040)
(-1999763, -1074179)
(-1999759, 1030570)
(-1999753, 925338)
(-1999751, 1450587)
(-1999742, 1553336)
(-1999737, -840724)
(-1999734, 1381417)
(-1999729, 1387772)
(-1999729, 1065429)
(-1999726, 1453203)
(-1999725, -103087)
(-1999722, -1092515)
(-1999721, -1084034)
(-1999714, -472928)
(-1999711, -1991337)
(-1999711, -313317)
(-1999710, 104362)
(-1999709, 1052652)
(-1999707, -1999899)
(-1999706, -856791)
(-1999702, 1127784)
(-1999697, 408432)
(-1999694, 1651626)
(-1999691, 771768)
(-1999685, 1918990)
(-1999682, 1794249)
(-1999681, 892767)
(-1999679, 1585227)
(-1999678, 1592723)
(-1999677, 687981)
(-1999676, -1139643)
(-1999672, -920625)
(-1999671, -588402)
(-1999670, -118116)
(-1999663, 311210)
(-1999646, 268116)
(-1999637, -1383000)
(-1999630, 1885639)
(-1999625, -686266)
(-1999618, -247090)
(-1999618, 842837)
(-1999616, -1864672)
(-1999608, -44592)
(-1999608, 1985396)
(-1999607, -481100)
(-1999603, 1890753)
(-1999599, 140056)
(-1999596, 1484606)
(-1999595, -1488535)
(-1999595, -1443805)
(-1999593, 1489716)
(-1999593, -1563644)
(-1999592, 1715523)
(-1999581, 262303)
(-1999581, 538213)
(-1999580, -991275)
(-1999576, 1482650)
(-1999570, -785471)
(-1999570, 827329)
(-1999555, 573261)
(-1999547, -652155)
(-1999539, -342326)
(-1999536, 64152)
(-1999533, -1869330)
(-1999532, 172136)
(-1999527, -1203744)
(-1999521, -1507449)
(-1999518, 957045)
(-1999515, 462910)
(-1999513, -105787)
(-1999508, -568642)
(-1999497, -362827)
(-1999494, 369526)
(-1999486, 1857780)
(-1999485, -115039)
(-1999474, -1182485)
(-1999472, -1475069)
(-1999470, 1319944)
(-1999459, 496314)
(-1999455, -1916149)
(-1999450, -1138304)
(-1999446, 1423144)
(-1999446, -9417)
(-1999444, 623965)
(-1999441, -707904)
(-1999440, -935336)
(-1999439, 1938843)
(-1999438, -804977)
(-1999431, 1880919)
(-1999430, 1974116)
(-1999424, -626925)
(-1999409, -730666)
(-1999408, -1745177)
(-1999404, -1936982)
(-1999403, -1872360)
(-1999402, -1653437)
(-1999400, 400349)
(-1999395, 1422610)
(-1999393, 1349639)
(-1999393, -236056)
(-1999390, -1183753)
(-1999386, 1143630)
(-1999383, -208828)
(-1999376, -929809)
(-1999370, -695049)
(-1999366, -1225473)
(-1999365, 326250)
(-1999361, 285417)
(-1999358, -697098)
(-1999346, -748540)
(-1999325, -1239726)
(-1999314, -1332046)
(-1999310, 1915083)
(-1999309, 343902)
(-1999305, 689842)
(-1999305, 252776)
(-1999304, 1469190)
(-1999304, 49907)
(-1999290, 1656576)
(-1999287, -960631)
(-1999285, -165455)
(-1999281, 235569)
(-1999280, 1420491)
(-1999275, 1765680)
(-1999274, 1513306)
(-1999272, 1455857)
(-1999272, 775298)
(-1999269, -1300083)
(-1999268, -82455)
(-1999268, 1761416)
(-1999263, -1330246)
(-1999260, -1661693)
(-1999259, 1391854)
(-1999258, -1737653)
(-1999254, -370698)
(-1999246, 957894)
(-1999239, -616340)
(-1999238, 1742363)
(-1999237, 765424)
(-1999236, 967519)
(-1999231, -918960)
(-1999221, 1236362)
(-1999220, 1428042)
(-1999217, 1550681)
(-1999212, 898119)
(-1999195, 1801808)
(-1999190, 307321)
(-1999186, 674808)
(-1999178, -211601)
(-1999177, 901797)
(-1999171, -1239766)
(-1999170, -605841)
(-1999164, 1475705)
(-1999163, -255476)
(-1999159, -739844)
(-1999149, 75128)
(-1999146, 952336)
(-1999139, 124061)
(-1999138, 1041945)
(-1999126, 1959194)
(-1999121, -1108006)
(-1999117, -8706)
(-1999116, -1736983)
(-1999116, 1052304)
(-1999108, -365060)
(-1999101, 1374607)
(-1999101, -1797159)
(-1999095, 1080789)
(-1999095, 1931231)
(-1999080, 1549043)
(-1999073, 853519)
(-1999071, -1993033)
(-1999066, -397724)
(-1999063, -23344)
(-1999058, 207935)
(-1999058, -1185838)
(-1999039, 1244093)
(-1999039, -701265)
(-1999038, -1313536)
(-1999029, -1684610)
(-1999014, 338039)
(-1998999, -1295)
(-1998997, 1417781)
(-1998997, 1029760)
(-1998997, 1253916)
(-1998994, 1577850)
(-1998994, 972231)
(-1998991, -1202892)
(-1998990, -1665100)
(-1998984, -1342993)
(-1998983, 479550)
(-1998978, 924401)
(-1998975, 3584)
(-1998971, -1977395)
