Process 7
Received total number of points (1000000)
Local number of points: 125000
(1499538, -1166185)
(1499541, 536682)
(1499547, 1499332)
(1499551, -1383147)
(1499552, -86921)
(1499562, -328360)
(1499564, 1192323)
(1499564, 1949999)
(1499567, -480456)
(1499571, 1677012)
(1499577, -1895093)
(1499582, 16693)
(1499592, 217436)
(1499595, -1638236)
(1499595, -605715)
(1499596, -1139138)
(1499597, -544249)
(1499598, 195256)
(1499599, -120888)
(1499599, -255071)
(1499599, -293350)
(1499600, -1123416)
(1499604, 354269)
(1499608, 1518071)
(1499614, -1017980)
(1499615, 1330818)
(1499628, -893551)
(1499631, 932658)
(1499636, -603185)
(1499639, 1590746)
(1499640, -302277)
(1499664, 1907700)
(1499668, -1445926)
(1499669, 1437013)
(1499675, 1106592)
(1499676, 1493398)
(1499678, -1948655)
(1499680, -554283)
(1499682, 1325292)
(1499687, -1670438)
(1499697, -1755036)
(1499698, 612045)
(1499698, 162036)
(1499703, -731269)
(1499706, -875798)
(1499707, 393616)
(1499709, -914794)
(1499711, 928097)
(1499712, 1299717)
(1499727, -1583829)
(1499735, -1049986)
(1499746, -870309)
(1499755, 318723)
(1499760, -1254391)
(1499760, 97643)
(1499762, 1251716)
(1499766, -566632)
(1499769, -259984)
(1499769, -244126)
(1499773, -1583901)
(1499775, 1414998)
(1499775, -474467)
(1499775, 1462796)
(1499776, 16063)
(1499776, -58595)
(1499787, 1936442)
(1499793, 892279)
(1499803, 1177901)
(1499809, -869031)
(1499818, -1441548)
(1499824, -997797)
(1499834, 1745108)
(1499834, 1753744)
(1499836, 131561)
(1499850, -221132)
(1499853, -530756)
(1499854, 538164)
(1499861, 991006)
(1499865, 1809205)
(1499865, 531521)
(1499866, -1970971)
(1499873, 1478851)
(1499875, -1736896)
(1499876, 716633)
(1499879, 1947056)
(1499882, 481222)
(1499885, -1102910)
(1499895, 269175)
(1499898, 322334)
(1499902, 1120205)
(1499912, -210355)
(1499920, 487137)
(1499921, 1019795)
(1499924, -1362460)
